"date","week","day","id","tent","total_eggs","treatment","eggs"
2019-10-08,2,1,"16-5889",5,34,"untreated",12
2019-10-08,2,1,"16-5889",5,34,"treated",22
2019-10-09,2,2,"16-5889",5,35,"untreated",2
2019-10-09,2,2,"16-5889",5,35,"treated",33
2019-10-10,2,3,"16-5889",5,69,"untreated",44
2019-10-10,2,3,"16-5889",5,69,"treated",25
2019-10-02,1,1,"16-5891",3,151,"untreated",66
2019-10-02,1,1,"16-5891",3,151,"treated",85
2019-10-03,1,2,"16-5891",3,49,"untreated",14
2019-10-03,1,2,"16-5891",3,49,"treated",35
2019-10-04,1,3,"16-5891",3,5,"untreated",5
2019-10-04,1,3,"16-5891",3,5,"treated",0
2019-10-02,1,1,"16-5896",6,173,"untreated",59
2019-10-02,1,1,"16-5896",6,173,"treated",114
2019-10-03,1,2,"16-5896",6,103,"untreated",69
2019-10-03,1,2,"16-5896",6,103,"treated",34
2019-10-04,1,3,"16-5896",6,133,"untreated",32
2019-10-04,1,3,"16-5896",6,133,"treated",101
2019-10-02,1,1,"16-5897",2,132,"untreated",98
2019-10-02,1,1,"16-5897",2,132,"treated",34
2019-10-03,1,2,"16-5897",2,115,"untreated",71
2019-10-03,1,2,"16-5897",2,115,"treated",44
2019-10-04,1,3,"16-5897",2,132,"untreated",83
2019-10-04,1,3,"16-5897",2,132,"treated",49
2019-10-09,2,2,"16-5927",1,15,"untreated",3
2019-10-09,2,2,"16-5927",1,15,"treated",12
2019-10-10,2,3,"16-5927",1,105,"untreated",70
2019-10-10,2,3,"16-5927",1,105,"treated",35
2019-10-14,3,1,"16-5940",5,72,"untreated",43
2019-10-14,3,1,"16-5940",5,72,"treated",29
2019-10-15,3,2,"16-5940",5,77,"untreated",27
2019-10-15,3,2,"16-5940",5,77,"treated",50
2019-10-16,3,3,"16-5940",5,76,"untreated",44
2019-10-16,3,3,"16-5940",5,76,"treated",32
2019-10-08,2,1,"17-3625",8,126,"untreated",55
2019-10-08,2,1,"17-3625",8,126,"treated",71
2019-10-09,2,2,"17-3625",8,56,"untreated",29
2019-10-09,2,2,"17-3625",8,56,"treated",27
2019-10-10,2,3,"17-3625",8,11,"untreated",5
2019-10-10,2,3,"17-3625",8,11,"treated",6
2019-10-02,1,1,"17-3630",10,74,"untreated",0
2019-10-02,1,1,"17-3630",10,74,"treated",74
2019-10-02,1,1,"17-3646",11,55,"untreated",54
2019-10-02,1,1,"17-3646",11,55,"treated",1
2019-10-03,1,2,"17-3646",11,50,"untreated",19
2019-10-03,1,2,"17-3646",11,50,"treated",31
2019-10-04,1,3,"17-3646",11,39,"untreated",14
2019-10-04,1,3,"17-3646",11,39,"treated",25
2019-10-02,1,1,"17-3659",9,232,"untreated",176
2019-10-02,1,1,"17-3659",9,232,"treated",56
2019-10-03,1,2,"17-3659",9,113,"untreated",41
2019-10-03,1,2,"17-3659",9,113,"treated",72
2019-10-04,1,3,"17-3659",9,132,"untreated",78
2019-10-04,1,3,"17-3659",9,132,"treated",54
2019-10-09,2,2,"17-3663",4,181,"untreated",119
2019-10-09,2,2,"17-3663",4,181,"treated",62
2019-10-10,2,3,"17-3663",4,61,"untreated",45
2019-10-10,2,3,"17-3663",4,61,"treated",16
2019-10-02,1,1,"17-3665",5,113,"untreated",57
2019-10-02,1,1,"17-3665",5,113,"treated",56
2019-10-03,1,2,"17-3665",5,62,"untreated",21
2019-10-03,1,2,"17-3665",5,62,"treated",41
2019-10-04,1,3,"17-3665",5,131,"untreated",98
2019-10-04,1,3,"17-3665",5,131,"treated",33
2019-10-08,2,1,"17-3667",10,1,"untreated",1
2019-10-08,2,1,"17-3667",10,1,"treated",0
2019-10-09,2,2,"17-3667",10,21,"untreated",12
2019-10-09,2,2,"17-3667",10,21,"treated",9
2019-10-10,2,3,"17-3667",10,4,"untreated",1
2019-10-10,2,3,"17-3667",10,4,"treated",3
2019-10-08,2,1,"17-3668",7,157,"untreated",81
2019-10-08,2,1,"17-3668",7,157,"treated",76
2019-10-09,2,2,"17-3668",7,99,"untreated",29
2019-10-09,2,2,"17-3668",7,99,"treated",70
2019-10-10,2,3,"17-3668",7,113,"untreated",48
2019-10-10,2,3,"17-3668",7,113,"treated",65
2019-10-02,1,1,"17-3676",8,148,"untreated",74
2019-10-02,1,1,"17-3676",8,148,"treated",74
2019-10-03,1,2,"17-3676",8,84,"untreated",32
2019-10-03,1,2,"17-3676",8,84,"treated",52
2019-10-04,1,3,"17-3676",8,79,"untreated",59
2019-10-04,1,3,"17-3676",8,79,"treated",20
2019-10-02,1,1,"17-3692",7,229,"untreated",158
2019-10-02,1,1,"17-3692",7,229,"treated",71
2019-10-03,1,2,"17-3692",7,107,"untreated",91
2019-10-03,1,2,"17-3692",7,107,"treated",16
2019-10-04,1,3,"17-3692",7,135,"untreated",66
2019-10-04,1,3,"17-3692",7,135,"treated",69
2019-10-14,3,1,"17-3701",4,125,"untreated",75
2019-10-14,3,1,"17-3701",4,125,"treated",50
2019-10-15,3,2,"17-3701",4,57,"untreated",32
2019-10-15,3,2,"17-3701",4,57,"treated",25
2019-10-16,3,3,"17-3701",4,84,"untreated",40
2019-10-16,3,3,"17-3701",4,84,"treated",44
2019-10-14,3,1,"17-3704",11,36,"untreated",23
2019-10-14,3,1,"17-3704",11,36,"treated",13
2019-10-15,3,2,"17-3704",11,87,"untreated",59
2019-10-15,3,2,"17-3704",11,87,"treated",28
2019-10-16,3,3,"17-3704",11,85,"untreated",30
2019-10-16,3,3,"17-3704",11,85,"treated",55
2019-10-09,2,2,"17-3707",11,78,"untreated",31
2019-10-09,2,2,"17-3707",11,78,"treated",47
2019-10-10,2,3,"17-3707",11,125,"untreated",37
2019-10-10,2,3,"17-3707",11,125,"treated",88
2019-10-15,3,2,"17-3708",10,87,"untreated",34
2019-10-15,3,2,"17-3708",10,87,"treated",53
2019-10-16,3,3,"17-3708",10,72,"untreated",35
2019-10-16,3,3,"17-3708",10,72,"treated",37
2019-10-16,3,3,"19-800",12,67,"untreated",28
2019-10-16,3,3,"19-800",12,67,"treated",39
2019-10-16,3,3,"e10-5",6,62,"untreated",45
2019-10-16,3,3,"e10-5",6,62,"treated",17
2019-10-14,3,1,"e10-5-2",8,134,"untreated",53
2019-10-14,3,1,"e10-5-2",8,134,"treated",81
2019-10-15,3,2,"e10-5-2",8,108,"untreated",18
2019-10-15,3,2,"e10-5-2",8,108,"treated",90
2019-10-16,3,3,"e10-5-2",8,151,"untreated",27
2019-10-16,3,3,"e10-5-2",8,151,"treated",124
2019-10-14,3,1,"e10-6",1,2,"untreated",0
2019-10-14,3,1,"e10-6",1,2,"treated",2
2019-10-15,3,2,"e10-6",1,78,"untreated",54
2019-10-15,3,2,"e10-6",1,78,"treated",24
2019-10-16,3,3,"e10-6",1,48,"untreated",17
2019-10-16,3,3,"e10-6",1,48,"treated",31
2019-10-14,3,1,"e9-27",2,106,"untreated",58
2019-10-14,3,1,"e9-27",2,106,"treated",48
2019-10-15,3,2,"e9-27",2,61,"untreated",29
2019-10-15,3,2,"e9-27",2,61,"treated",32
2019-10-16,3,3,"e9-27",2,99,"untreated",32
2019-10-16,3,3,"e9-27",2,99,"treated",67
